Date,issue,percentage
20/05/2024,Pensions,4.0
26/07/2016,Education,17.0
02/08/2016,Education,17.0
09/08/2016,Education,17.0
17/08/2016,Education,20.0
23/08/2016,Education,18.0
31/08/2016,Education,19.0
14/09/2016,Education,22.0
12/10/2016,Education,16.0
25/10/2016,Education,16.0
01/11/2016,Education,17.0
15/11/2016,Education,17.0
29/11/2016,Education,14.0
17/12/2016,Education,17.0
10/01/2017,Education,16.0
17/01/2017,Education,16.0
24/01/2017,Education,17.0
31/01/2017,Education,15.0
13/02/2017,Education,15.0
22/02/2017,Education,19.0
28/02/2017,Education,16.0
14/03/2017,Education,20.0
21/03/2017,Education,24.0
27/03/2017,Education,19.0
06/04/2017,Education,18.0
19/04/2017,Education,19.0
26/04/2017,Education,24.0
03/05/2017,Education,26.0
10/05/2017,Education,22.0
17/05/2017,Education,24.0
31/05/2017,Education,25.0
07/06/2017,Education,21.0
22/06/2017,Education,21.0
11/07/2017,Education,23.0
01/08/2017,Education,18.0
31/08/2017,Education,20.0
12/09/2017,Education,21.0
11/10/2017,Education,21.0
28/11/2017,Education,15.0
12/12/2017,Education,21.0
20/12/2017,Education,15.0
21/12/2017,Education,20.0
03/01/2018,Education,15.0
08/01/2018,Education,19.0
16/01/2018,Education,21.0
30/01/2018,Education,20.0
06/02/2018,Education,19.0
13/02/2018,Education,17.0
20/02/2018,Education,22.0
27/02/2018,Education,21.0
06/03/2018,Education,17.0
27/03/2018,Education,19.0
10/04/2018,Education,18.0
17/04/2018,Education,19.0
25/04/2018,Education,17.0
01/05/2018,Education,22.0
09/05/2018,Education,18.0
14/05/2018,Education,16.0
21/05/2018,Education,19.0
29/05/2018,Education,16.0
05/06/2018,Education,18.0
12/06/2018,Education,17.0
19/06/2018,Education,17.0
26/06/2018,Education,14.0
04/07/2018,Education,17.0
09/07/2018,Education,16.0
17/07/2018,Education,17.0
23/07/2018,Education,15.0
31/07/2018,Education,15.0
14/08/2018,Education,13.0
21/08/2018,Education,12.0
29/08/2018,Education,15.0
04/09/2018,Education,16.0
20/09/2018,Education,16.0
01/10/2018,Education,14.0
09/10/2018,Education,15.0
15/10/2018,Education,12.0
23/10/2018,Education,16.0
05/11/2018,Education,18.0
19/11/2018,Education,17.0
27/11/2018,Education,17.0
04/12/2018,Education,17.0
07/01/2019,Education,14.0
14/01/2019,Education,14.0
21/01/2019,Education,15.0
04/02/2019,Education,16.0
07/03/2019,Education,17.0
25/03/2019,Education,17.0
03/04/2019,Education,17.0
11/04/2019,Education,18.0
30/04/2019,Education,17.0
29/05/2019,Education,17.0
06/06/2019,Education,19.0
24/06/2019,Education,17.0
01/07/2019,Education,18.0
08/07/2019,Education,19.0
14/07/2019,Education,14.0
22/07/2019,Education,18.0
29/07/2019,Education,16.0
05/08/2019,Education,14.0
11/08/2019,Education,17.0
19/08/2019,Education,15.0
26/08/2019,Education,14.0
02/09/2019,Education,17.0
09/09/2019,Education,19.0
16/09/2019,Education,13.0
23/09/2019,Education,15.0
30/09/2019,Education,16.0
06/10/2019,Education,17.0
14/10/2019,Education,14.0
21/10/2019,Education,18.0
28/10/2019,Education,17.0
04/11/2019,Education,19.0
11/11/2019,Education,16.0
18/11/2019,Education,19.0
25/11/2019,Education,16.0
01/12/2019,Education,17.0
16/12/2019,Education,21.0
23/12/2019,Education,14.0
30/12/2019,Education,16.0
06/01/2020,Education,15.0
13/01/2020,Education,17.0
20/01/2020,Education,17.0
27/01/2020,Education,16.0
03/02/2020,Education,18.0
09/02/2020,Education,16.0
17/02/2020,Education,15.0
24/02/2020,Education,15.0
02/03/2020,Education,15.0
09/03/2020,Education,16.0
16/03/2020,Education,14.0
23/03/2020,Education,11.0
30/03/2020,Education,12.0
06/04/2020,Education,11.0
13/04/2020,Education,14.0
20/04/2020,Education,13.0
27/04/2020,Education,11.0
03/05/2020,Education,16.0
10/05/2020,Education,17.0
18/05/2020,Education,16.0
25/05/2020,Education,20.0
02/06/2020,Education,19.0
08/06/2020,Education,17.0
15/06/2020,Education,23.0
