country,iso2code,country_year,year_election,election_date,election_type,source_type,source_name,title_art,date_art,page_art,section_art,words_art,sentence,type_cs,subject_function,subject_party,subject_individual,direction,object_function,object_party,object_individual,issue_cat,issue_subcat,party_id,party_name,party_name_short,vote_share,seats,seats_total,cmp,euprofiler,ees,castles_mair,huber_inglehart,ray,benoit_laver,chess
United Kingdom,UK,UK_2017,2017,08/06/2017,parl,newspaper articles,The Times,Defeat looms as Welsh desert Labour,25/04/2017,8,News,614,But instead those same politicians have closed ranks,actor-actor,Nat. executive/government,Conservatives,Theresa May,-1,Subnat. political party,Plaid Cymru,,not attachable,NA,773,Conservatives,Con,42.45,318,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2005,2005,05/05/2005,parl,newspaper articles,The Sun (English ed.),I<b4>ll fight to stay as MP,26/03/2005,2,,NA,accused of paranoid overreaction,actor-actor,NA,Conservatives,,-1,NA,,,not attachable,NA,773,Conservatives,Con,32.4,198,646,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2015,2015,07/05/2015,parl,newspaper articles,The Times,"Osborne is dangerous, says Clegg in latest tirade",06/04/2015,"6,7",News,NA,cuts to welfare unacceptable,actor-issue,Nat. political party,Conservatives,"Osborne, George",-1,NA,,,welfare,welfare (general),773,Conservatives,Con,36.93,331,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2005,2005,05/05/2005,parl,newspaper articles,The Sun (English ed.),Face of Our Boys fights PM,23/03/2005,2,,NA,will challenge,actor-actor,NA,Conservatives,,-1,NA,,,not attachable,NA,773,Conservatives,Con,32.4,198,646,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1992,1992,09/04/1992,parl,newspaper articles,The Sun (English ed.),Labour win,04/03/1992,.,National,NA,10m homes hit,actor-actor,NA,Conservatives,,-1,NA,,,not attachable,NA,773,Conservatives,Con,41.9,336,651,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1992,1992,09/04/1992,parl,newspaper articles,The Times,Major defends,21/03/1992,.,National,NA,defends high borrowing policy,actor-issue,NA,Conservatives,,-1,NA,,,ecolib,budget other,773,Conservatives,Con,41.9,336,651,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1974,1974,28/02/1974,parl,newspaper articles,The Times,Lord Carrington: No giving,07/01/1974,.,National,NA,geben nicht nach,actor-issue,NA,Conservatives,,1,NA,,,ecolib,labour market,773,Conservatives,Con,38,297,635,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1997,1997,01/05/1997,parl,newspaper articles,The Times,Tory MP,05/03/1997,.,Titelseite,NA,part of an attack on dreadful women in politics,actor-issue,NA,Conservatives,,-1,NA,,,cultlib,gender,773,Conservatives,Con,30.7,165,659,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2015,2015,07/05/2015,parl,newspaper articles,The Sun (English ed.),MED FURY,25/04/2015,6,News,NA,David Cameron was partly to blame,actor-issue,Nat. political party,Conservatives,"Cameron, David",-1,NA,,,defense,military intervention,773,Conservatives,Con,36.93,331,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2017,2017,08/06/2017,parl,newspaper articles,The Times,May forced to weaken key target on migrants,20/04/2017,"1,2",News,850,"Mrs May has repeatedly rejected calls from cabinet ministers including Boris Johnson, Philip Hammond and Amber Rudd to exempt students from the pledge to reduce the number of net migrants arriving in Britain each year to the tens of thousands.",actor-issue,Nat. executive/government,Conservatives,Theresa May,1,NA,,,immig,immigration,773,Conservatives,Con,42.45,318,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1997,1997,01/05/1997,parl,newspaper articles,The Times,Hamilton deceived you,14/04/1997,.,National,NA,deceived,actor-actor,NA,Conservatives,,-1,NA,,,not attachable,NA,773,Conservatives,Con,30.7,165,659,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2015,2015,07/05/2015,parl,newspaper articles,The Sun (English ed.),If you Vote LobouR into Power EVeRY WoRking Family In BRIT a in Must pay <e5><a3>1.000,03/05/2015,"18,19",News,NA,mess up public finances,actor-actor,Nat. political party,Conservatives,"Osborne, George",-1,Nat. political party,Labour party,"Miliband, Ed",ecolib,budget other,773,Conservatives,Con,36.93,331,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1997,1997,01/05/1997,parl,newspaper articles,The Sun (English ed.),End of the Piers show,28/03/1997,.,Titelseite,NA,on war with,actor-actor,NA,Conservatives,,-1,NA,,,not attachable,NA,773,Conservatives,Con,30.7,165,659,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1992,1992,09/04/1992,parl,newspaper articles,The Times,Labours scorns Finance,14/03/1992,.,National,NA,forces Finance Bill despite bitter opposition,actor-issue,NA,Conservatives,,1,NA,,,ecolib,banking,773,Conservatives,Con,41.9,336,651,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2010,2010,06/05/2010,parl,newspaper articles,The Times,Working-class northerner insists: the Tories are not too posh to rule,27/03/2010,"Pg. 36,37",NEWS,NA,"Eric Pickles: The Labour party is too obsessed by class, he says",actor-issue,Nat. political party,Conservatives,"Pickles, Eric",-1,NA,,,welfare,welfare (general),773,Conservatives,Con,36.1,307,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2015,2015,07/05/2015,parl,newspaper articles,The Sun (English ed.),ST GEORGE'S PAY,24/04/2015,8.9,News,NA,Though it was supposed to have been created as the party of working people,actor-actor,Nat. political party,Conservatives,"Cameron, David",-1,Nat. political party,Labour,"Thornberry,  Emily",ecolib,labour market,773,Conservatives,Con,36.93,331,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2001,2001,07/06/2001,parl,newspaper articles,The Sun (English ed.),Crime,11/05/2001,.,National,NA,cons made to serve more of sentence,actor-issue,NA,Conservatives,,1,NA,,,security,security (general),773,Conservatives,Con,31.7,166,659,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1997,1997,01/05/1997,parl,newspaper articles,The Sun (English ed.),PM: I failed,28/04/1997,.,National,NA,tax burden is static,actor-issue,NA,Conservatives,,0,NA,,,ecolib,budget tax,773,Conservatives,Con,30.7,165,659,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1992,1992,09/04/1992,parl,newspaper articles,The Times,Crime-busters wanted,18/03/1992,.,National,NA,calls ojn parents and celebrities to set an example,actor-issue,NA,Conservatives,,1,NA,,,security,law and order,773,Conservatives,Con,41.9,336,651,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2017,2017,08/06/2017,parl,newspaper articles,The Sun (English ed.),100 TROOPS FOR KABUL,11/05/2017,9,News,112,BRITAIN is to send 100 more troops to Afghanistan to fight a return of the Taliban.,actor-issue,Nat. political party,Conservatives,Theresa May,1,NA,,,defense,military intervention,773,Conservatives,Con,42.45,318,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1992,1992,09/04/1992,parl,newspaper articles,The Times,Ministers fear riots,04/04/1992,.,National,NA,fear riots if Labour wins,actor-actor,NA,Conservatives,,-1,NA,,,not attachable,NA,773,Conservatives,Con,41.9,336,651,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1992,1992,09/04/1992,parl,newspaper articles,The Times,Crime-busters wanted,18/03/1992,.,National,NA,stop young people from falling into criminal behaviour,actor-issue,NA,Conservatives,,1,NA,,,security,law and order,773,Conservatives,Con,41.9,336,651,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1997,1997,01/05/1997,parl,newspaper ads,The Times,,25/04/1997,.,Weiss nicht,NA,run from a,actor-issue,NA,Conservatives,,-1,NA,,,europe,deepening (general),773,Conservatives,Con,30.7,165,659,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1992,1992,09/04/1992,parl,newspaper articles,The Times,Gummer pleads,08/04/1992,.,National,NA,pleads farmers not to forsake,actor-actor,NA,Conservatives,,1,NA,,,not attachable,NA,773,Conservatives,Con,41.9,336,651,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1997,1997,01/05/1997,parl,newspaper ads,The Sun (English ed.),,16/04/1997,.,Weiss nicht,NA,unterst<fc>tzt,actor-actor,NA,Conservatives,,1,NA,,,not attachable,NA,773,Conservatives,Con,30.7,165,659,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2001,2001,07/06/2001,parl,newspaper articles,The Times,Detention centre plan 'breaches human rights',19/05/2001,.,National,NA,consult the local public before building any detention centre,actor-issue,NA,Conservatives,,1,NA,,,cultlib,cultural liberalism (general),773,Conservatives,Con,31.7,166,659,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2017,2017,08/06/2017,parl,newspaper articles,The Sun (English ed.),DIESEL SCRAP COMPO TO GO AHEAD,03/05/2017,2,News,257,DIESEL drivers will be offered cash to ditch highly-polluting cars in plans to be released this week.,actor-issue,Nat. executive/government,Conservatives,,1,NA,,,env,environment (general),773,Conservatives,Con,42.45,318,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1992,1992,09/04/1992,parl,newspaper articles,The Sun (English ed.),Unions,19/03/1992,.,National,NA,strike ballots would be carried out by post,actor-issue,NA,Conservatives,,1,NA,,,ecolib,labour market,773,Conservatives,Con,41.9,336,651,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1997,1997,01/05/1997,parl,newspaper articles,The Times,Cabinet told to,12/03/1997,.,National,NA,save 7 million by tackling paper mountain,actor-issue,NA,Conservatives,,1,NA,,,demreform,democratic reform (general),773,Conservatives,Con,30.7,165,659,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1974,1974,28/02/1974,parl,newspaper articles,The Times,MPs protest at,28/01/1974,.,Titelseite,NA,protestieren gegen unmoralische Werbung,actor-issue,NA,Conservatives,,-1,NA,,,cultlib,lgtbq,773,Conservatives,Con,38,297,635,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2017,2017,08/06/2017,parl,newspaper articles,The Times,Sturgeon attacks 'rape clause',21/04/2017,12,News,271,"Plans to make mothers prove they have been raped to claim child benefits prompted angry exchanges between Nicola Sturgeon and Ruth Davidson, the Scottish Conservative leader.",actor-actor,Subnat. political party,Conservatives,Ruth Davidson,-1,Subnat. political party,SNM,Nicola Sturgeon,security,security (general),773,Conservatives,Con,42.45,318,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2017,2017,08/06/2017,parl,newspaper articles,The Times,Hammond wants to ditch Tory tax pledge,22/04/2017,7,News,509,Hammond wants to ditch Tory tax pledge,actor-issue,Nat. executive/government,Conservatives,David Cameron,1,NA,,,ecolib,budget tax,773,Conservatives,Con,42.45,318,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2001,2001,07/06/2001,parl,newspaper articles,The Sun (English ed.),Hague tax,30/05/2001,.,National,NA,cut taxes for families,actor-issue,NA,Conservatives,,1,NA,,,ecolib,budget tax,773,Conservatives,Con,31.7,166,659,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2017,2017,08/06/2017,parl,newspaper articles,The Sun (English ed.),SHIFT ON VOTE,19/04/2017,5,News,202,"""There is a Fixed Term Parliaments Act.",actor-issue,Nat. executive/government,Conservatives,,1,NA,,,demreform,democratic reform (general),773,Conservatives,Con,42.45,318,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2001,2001,07/06/2001,parl,newspaper articles,The Times,Tory pledge of asylum hit squades,07/05/2001,.,Titelseite,NA,pledge of asylum hit squads,actor-issue,NA,Conservatives,,-1,NA,,,immig,immigration,773,Conservatives,Con,31.7,166,659,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1997,1997,01/05/1997,parl,newspaper articles,The Sun (English ed.),Joint crackdown,04/03/1997,.,National,NA,parents of persistent thugs will be subject to a curfew,actor-issue,NA,Conservatives,,1,NA,,,security,law and order,773,Conservatives,Con,30.7,165,659,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2015,2015,07/05/2015,parl,newspaper articles,The Times,Are human rights slipping down the political agenda?,23/04/2015,53,News,NA,"economy, health, education or defence, all key election topics",actor-issue,Nat. political party,Conservatives,,1,NA,,,edu,education (general),773,Conservatives,Con,36.93,331,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2015,2015,07/05/2015,parl,newspaper articles,The Times,SNP 'will benefit all of Britain',16/03/2015,2,News,NA,Refused to rule out,actor-issue,Nat. political party,Conservatives,"Osborne, George",NA,NA,,,not attachable,NA,773,Conservatives,Con,36.93,331,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2015,2015,07/05/2015,parl,newspaper articles,The Times,"House price rise takes the cost of average home to <e5><a3>193,000",30/04/2015,17,News,NA,the Conservatives have pledged to revive Right to Buy,actor-issue,Nat. political party,Conservatives,,-1,NA,,,welfare,housing,773,Conservatives,Con,36.93,331,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2001,2001,07/06/2001,parl,newspaper articles,The Times,Defector's jilted Tories play hunt the vanishing butler,21/05/2001,.,National,NA,jilts,actor-actor,NA,Conservatives,,-1,NA,,,not attachable,NA,773,Conservatives,Con,31.7,166,659,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1974,1974,28/02/1974,parl,newspaper articles,The Times,Cabinet prepare for,07/01/1974,.,Titelseite,NA,ruft zusammen,actor-actor,NA,Conservatives,,0,NA,,,not attachable,NA,773,Conservatives,Con,38,297,635,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2005,2005,05/05/2005,parl,newspaper articles,The Times,The policies,10/04/2005,26,Politik/Wahlen,NA,24-hour security at ports,actor-issue,NA,Conservatives,,-1,NA,,,immig,immigration,773,Conservatives,Con,32.4,198,646,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2017,2017,08/06/2017,parl,newspaper articles,The Sun (English ed.),YES I MIND,07/05/2017,2,News,327,"And every school will have to train staff in mental health first aid, amid the rise of cyber bullying.",actor-issue,Nat. political party,Conservatives,Theresa May,1,NA,,,welfare,health care,773,Conservatives,Con,42.45,318,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1997,1997,01/05/1997,parl,newspaper articles,The Sun (English ed.),25 Pledges,03/04/1997,.,National,NA,constitutional change evolutionary not revolutionary,actor-issue,NA,Conservatives,,1,NA,,,region,regionalism,773,Conservatives,Con,30.7,165,659,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2005,2005,05/05/2005,parl,newspaper articles,The Times,How they compare,17/04/2005,26,Politik/Wahlen,NA,spend more than Labour on pensions police and defence,actor-issue,NA,Conservatives,,1,NA,,,defense,defense (general),773,Conservatives,Con,32.4,198,646,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2015,2015,07/05/2015,parl,newspaper articles,The Sun (English ed.),Mili's fans deserting,12/04/2015,2,News,NA,risks leaving him short of allies if he faces a revolt after the election,actor-actor,Nat. political party,Conservatives,"Shapps, Grant",-1,Nat. political party,Labour,"Miliband, Ed",not attachable,NA,773,Conservatives,Con,36.93,331,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1997,1997,01/05/1997,parl,newspaper articles,The Times,Major goal,02/04/1997,.,Titelseite,NA,goal: 20p basic rate in 5 years,actor-issue,NA,Conservatives,,1,NA,,,welfare,redistributive taxes,773,Conservatives,Con,30.7,165,659,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2010,2010,06/05/2010,parl,newspaper articles,The Sun (English ed.),Doing dad with steely core... why Cameron is the leader we need,05/05/2010,13,NEWS,NA,he says that supporting those who provide a stable home life to their children is crucial to the success of any society,actor-issue,Nat. political party,Conservatives,"Cameron, David",-1,NA,,,cultlib,cultural conservatism,773,Conservatives,Con,36.1,307,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2017,2017,08/06/2017,parl,newspaper articles,The Sun (English ed.),He Jez doesn't believe in Britain,02/06/2017,"8,9",News,627,"The PM laid into her rival leader, saying: ""What we know in this election is that the only other person that can be Prime Minister in seven days' time is simply not up to the job.",actor-actor,Nat. executive/government,Conservatives,Theresa May,-1,Nat. political party,Labour Party,Jeremy Corbyn,not attachable,NA,773,Conservatives,Con,42.45,318,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1974,1974,28/02/1974,parl,newspaper articles,The Times,Lord Carrington: No giving,07/01/1974,.,National,NA,geben nicht nach,actor-issue,NA,Conservatives,,1,NA,,,ecolib,labour market,773,Conservatives,Con,38,297,635,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1974,1974,28/02/1974,parl,newspaper articles,The Sun (English ed.),No let-up,10/01/1974,.,National,NA,Notstand weiterhin,actor-issue,NA,Conservatives,,1,NA,,,security,law and order,773,Conservatives,Con,38,297,635,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2010,2010,06/05/2010,parl,newspaper articles,The Times,"How another man's tax affairs turned from a minor irritant into a headache for Cameron; The Tory leader has outdone his predecessors in getting Lord Ashcroft into the open, but he is left with a difficult problem. Roland Watson reports",06/03/2010,11,NEWS,NA,the Tory leader who trumpeted the merits of transparency to council leaders,actor-issue,Nat. political party,Conservatives,"Cameron, David",-1,NA,,,demnew,transparency,773,Conservatives,Con,36.1,307,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1997,1997,01/05/1997,parl,newspaper articles,The Times,Conservatives,24/03/1997,.,National,NA,self-regulation of top-pay,actor-issue,NA,Conservatives,,1,NA,,,ecolib,economic liberalism (general),773,Conservatives,Con,30.7,165,659,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2015,2015,07/05/2015,parl,newspaper articles,The Times,The Ed and Boris show ... to be continued,27/04/2015,"8,9",News,NA,"Boris should have called Ed a ""backstapper""",actor-actor,Nat. political party,Conservatives,"Johnson, Boris",-1,Nat. political party,Labour,"Miliband, Ed",not attachable,NA,773,Conservatives,Con,36.93,331,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2017,2017,08/06/2017,parl,newspaper articles,The Times,"Social care costs will hit victims on roll of the dice, say charities [CORRECTED]",19/05/2017,"10,11",News,782,"Jeremy Hughes, the charity's executive, vows a campaign of ""relentless pressure"" on the next government, saying: ""In the lottery of life, people with dementia remain the principal victims, forced to spend hundreds of thousands of pounds on care - unlike those who develop cancer, heart disease or diabetes.""",actor-issue,Nat. political party,Conservatives,Theresa May,-1,NA,,,welfare,health care,773,Conservatives,Con,42.45,318,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2010,2010,06/05/2010,parl,newspaper articles,The Sun (English ed.),STEEL v RUST; SUN JOINS TORY LEADER'S MARCH TO No 10 Cam hits back at Mandy plastic' jibe It's Labour decay or our modern way,07/04/2010,"Pg. 4,5",NEWS,NA,"Tory plan to ditch Labour's job tax, a rise in National Insurance contributions",actor-issue,Nat. political party,Conservatives,,-1,NA,,,welfare,poverty,773,Conservatives,Con,36.1,307,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2017,2017,08/06/2017,parl,newspaper articles,The Sun (English ed.),JEZ WHITE FLAG MAN,02/06/2017,2,News,256,"""You slag off chaps in white vans — and you run up the white flag.""",actor-actor,Nat. executive/government,Conservatives,Boris Johnson,-1,Nat. political party,Labour Party,Emily Thornberry,not attachable,NA,773,Conservatives,Con,42.45,318,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2017,2017,08/06/2017,parl,newspaper articles,The Sun (English ed.),MAY FAIR LADY,19/05/2017,"8,9",News,1021,Patriotic PM vows to build equal society,actor-issue,Nat. executive/government,Conservatives,Theresa May,1,NA,,,welfare,poverty,773,Conservatives,Con,42.45,318,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2010,2010,06/05/2010,parl,newspaper articles,The Sun (English ed.),SKIVE HIGH; Truants soar 44% to new record under Labour,26/03/2010,Pg. 6,NEWS,NA,Tories accused the government of not doing enough to get pupils into class,actor-actor,Nat. political party,Conservatives,,-1,Nat. executive/government,Labour,,edu,primary education,773,Conservatives,Con,36.1,307,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2010,2010,06/05/2010,parl,newspaper articles,The Times,Osborne restates £12bn pledge but leaves the maths to experts,30/03/2010,Pg. 8,NEWS,NA,Osborne pledges to cut the deficit more quickly while cancelling tax rises,actor-issue,Nat. political party,Conservatives,"Osborne, George",1,NA,,,welfare,redistributive taxes,773,Conservatives,Con,36.1,307,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2015,2015,07/05/2015,parl,newspaper articles,The Times,Agincourt and a <e5><a3>1m punchline,19/03/2015,6,Features,NA,Sadly not an option available to the Labour party,actor-actor,Nat. political party,Conservatives,"Osborne, George",-1,Nat. political party,,"Miliband, Ed",not attachable,NA,773,Conservatives,Con,36.93,331,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1992,1992,09/04/1992,parl,newspaper articles,The Sun (English ed.),Voters can't tell,17/02/1992,.,National,NA,urged the Prime Minister to fight Labour on privatisation,actor-actor,NA,Conservatives,,-1,NA,,,not attachable,NA,773,Conservatives,Con,41.9,336,651,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1997,1997,01/05/1997,parl,newspaper articles,The Sun (English ed.),The Tory Plan,11/03/1997,.,National,NA,ring-fence savings up to L 10.000,actor-issue,NA,Conservatives,,1,NA,,,welfare,retirement,773,Conservatives,Con,30.7,165,659,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1997,1997,01/05/1997,parl,newspaper articles,The Sun (English ed.),25 Pledges,03/04/1997,.,National,NA,maintain low lending rates,actor-issue,NA,Conservatives,,1,NA,,,ecolib,banking,773,Conservatives,Con,30.7,165,659,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2015,2015,07/05/2015,parl,newspaper articles,The Sun (English ed.),FUN NATION TORIES,07/04/2015,8.9,News,NA," In just one month's time, that progress is at risk",actor-actor,Nat. political party,Conservatives,"Cameron, David",-1,Nat. political party,Labour,"Miliband, Ed",ecolib,economic liberalism (general),773,Conservatives,Con,36.93,331,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2005,2005,05/05/2005,parl,newspaper articles,The Times,I'm not making,22/04/2005,36,Politik/Wahlen,NA,we don't need to increase taxes,actor-issue,NA,Conservatives,,-1,NA,,,ecolib,budget tax,773,Conservatives,Con,32.4,198,646,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2017,2017,08/06/2017,parl,newspaper articles,The Times,Corbyn accused of siding with enemy after speech,27/05/2017,7,News,367,Jeremy Corbyn was accused of taking the side of Britain's enemies after he linked the Manchester attack to British military action abroad.,actor-actor,Nat. executive/government,Conservatives,,-1,Nat. political party,Labour Party,Jeremy Corbyn,not attachable,NA,773,Conservatives,Con,42.45,318,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2010,2010,06/05/2010,parl,newspaper articles,The Times,"'We don't want to short change voters, but I can't pretend I'm not nervous'; Tory leader has been rehearsing for key battle",15/04/2010,"Pg. 6,7",NEWS,NA,Cameron: The Prime Minister has repeatly shown that he does not have what it takes to get the job done,actor-actor,Nat. political party,Conservatives,"Cameron, David",-1,Nat. executive/government,Labour,"Brown, Gordon",not attachable,NA,773,Conservatives,Con,36.1,307,650,51620,418,1826620,1606,603,1101,5103,1101
